learning_seed,n_samples_per_state,template_seed,target_src,target_dst,target_feature,present_n_admissible_edges,absent_n_admissible_edges,baseline_safe_present,baseline_safe_absent,baseline_safe_present_minus_absent,safe_gain_present,safe_gain_absent,safe_gain_present_minus_absent,risky_drop_present,risky_drop_absent,risky_drop_present_minus_absent,present_H1,absent_H1,present_H2,absent_H2,present_H3,absent_H3,present_H4,absent_H4,present_pass_all,absent_pass_all,present_resistance_risky_terminal,absent_resistance_risky_terminal,present_only_h3,absent_only_h3,both_pass_h3,both_fail_h3,disagreement_h3,baseline_safe_midpoint,safe_gain_midpoint,risky_drop_midpoint,abs_baseline_safe_gap,abs_safe_gain_gap,abs_risky_drop_gap,pair_h3_outcome
2,1200,2012,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.4527777777777778,0.4680555555555555,-0.0152777777777777,0.0763888888888889,0.0791666666666667,-0.0027777777777778,0.1541666666666666,0.1611111111111111,-0.0069444444444444,True,True,True,True,False,False,True,True,False,False,0.0041666666666666,0.0027777777777777,False,False,False,True,False,0.46041666666666664,0.0777777777777778,0.15763888888888883,0.015277777777777724,0.0027777777777778095,0.006944444444444503,both_fail
2,1200,2013,benign_assessed,clarify,edge__benign_assessed__clarify,44,43,0.375,0.3875,-0.0125,0.0777777777777777,0.0583333333333332,0.0194444444444444,0.1097222222222222,0.1027777777777777,0.0069444444444444,True,True,True,True,False,False,True,True,False,False,0.0013888888888888,0.0013888888888888,False,False,False,True,False,0.38125,0.06805555555555545,0.10624999999999996,0.012500000000000011,0.019444444444444493,0.006944444444444489,both_fail
2,1200,2014,benign_assessed,clarify,edge__benign_assessed__clarify,44,43,0.3736111111111111,0.3861111111111111,-0.0125,0.0791666666666666,0.0611111111111111,0.0180555555555555,0.1111111111111111,0.1041666666666666,0.0069444444444444,True,True,True,True,False,False,True,True,False,False,0.0013888888888888,0.0013888888888888,False,False,False,True,False,0.3798611111111111,0.07013888888888885,0.10763888888888885,0.012500000000000011,0.01805555555555549,0.006944444444444503,both_fail
2,1200,2015,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.3736111111111111,0.3861111111111111,-0.0125,0.0791666666666666,0.0611111111111111,0.0180555555555555,0.1111111111111111,0.1041666666666666,0.0069444444444444,True,True,True,True,False,False,True,True,False,False,0.0013888888888888,0.0013888888888888,False,False,False,True,False,0.3798611111111111,0.07013888888888885,0.10763888888888885,0.012500000000000011,0.01805555555555549,0.006944444444444503,both_fail
2,2400,2000,benign_assessed,clarify,edge__benign_assessed__clarify,42,41,0.3944444444444445,0.4097222222222222,-0.0152777777777777,0.0847222222222221,0.0833333333333333,0.0013888888888888,0.1361111111111111,0.1305555555555555,0.0055555555555555,True,True,True,True,False,False,True,True,False,False,0.0041666666666666,0.0027777777777777,False,False,False,True,False,0.40208333333333335,0.0840277777777777,0.1333333333333333,0.015277777777777724,0.0013888888888888007,0.005555555555555591,both_fail
2,2400,2001,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.3708333333333333,0.375,-0.0041666666666666,0.0902777777777777,0.0861111111111111,0.0041666666666666,0.1180555555555555,0.1152777777777777,0.0027777777777777,True,True,True,True,False,False,True,True,False,False,0.0013888888888888,0.0013888888888888,False,False,False,True,False,0.3729166666666667,0.08819444444444441,0.1166666666666666,0.004166666666666707,0.00416666666666661,0.0027777777777777957,both_fail
2,2400,2002,benign_assessed,clarify,edge__benign_assessed__clarify,42,41,0.3708333333333333,0.375,-0.0041666666666666,0.0847222222222222,0.0833333333333333,0.0013888888888888,0.1180555555555555,0.1152777777777777,0.0027777777777777,True,True,True,True,False,False,True,True,False,False,0.0013888888888888,0.0013888888888888,False,False,False,True,False,0.3729166666666667,0.08402777777777776,0.1166666666666666,0.004166666666666707,0.0013888888888888978,0.0027777777777777957,both_fail
2,2400,2003,benign_assessed,clarify,edge__benign_assessed__clarify,44,43,0.386111111111111,0.3930555555555555,-0.0069444444444444,0.0763888888888889,0.0763888888888889,5.551115123125783e-17,0.1152777777777777,0.1152777777777777,0.0,True,True,True,True,False,False,True,True,False,False,0.0013888888888888,0.0013888888888888,False,False,False,True,False,0.3895833333333333,0.0763888888888889,0.1152777777777777,0.006944444444444475,0.0,0.0,both_fail
2,2400,2004,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.3513888888888888,0.3736111111111111,-0.0222222222222222,0.1,0.0763888888888889,0.0236111111111111,0.0972222222222222,0.0902777777777777,0.0069444444444444,True,True,True,True,False,False,True,True,False,False,0.0,0.0013888888888888,False,False,False,True,False,0.36249999999999993,0.08819444444444445,0.09374999999999994,0.02222222222222231,0.02361111111111111,0.006944444444444489,both_fail
2,2400,2005,benign_assessed,clarify,edge__benign_assessed__clarify,42,41,0.4125,0.4402777777777777,-0.0277777777777777,0.0972222222222222,0.0722222222222221,0.025,0.1555555555555555,0.1388888888888889,0.0166666666666666,True,True,True,True,False,False,True,True,False,False,0.0013888888888888,0.0027777777777777,False,False,False,True,False,0.4263888888888888,0.08472222222222214,0.1472222222222222,0.027777777777777735,0.02500000000000009,0.016666666666666607,both_fail
2,2400,2006,benign_assessed,clarify,edge__benign_assessed__clarify,43,42,0.3152777777777777,0.3166666666666666,-0.0013888888888888,0.1013888888888889,0.1166666666666667,-0.0152777777777777,0.1611111111111111,0.1569444444444444,0.0041666666666666,True,True,True,True,False,False,True,True,False,False,0.0013888888888888,0.0013888888888888,False,False,False,True,False,0.31597222222222215,0.1090277777777778,0.15902777777777774,0.001388888888888884,0.015277777777777793,0.004166666666666707,both_fail
