learning_seed,n_samples_per_state,template_seed,target_src,target_dst,target_feature,present_n_admissible_edges,absent_n_admissible_edges,baseline_safe_present,baseline_safe_absent,baseline_safe_present_minus_absent,safe_gain_present,safe_gain_absent,safe_gain_present_minus_absent,risky_drop_present,risky_drop_absent,risky_drop_present_minus_absent,present_H1,absent_H1,present_H2,absent_H2,present_H3,absent_H3,present_H4,absent_H4,present_pass_all,absent_pass_all,present_resistance_risky_terminal,absent_resistance_risky_terminal
0,1200,2010,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,44,43,0.5347222222222222,0.513888888888889,0.02083333333333326,0.1347222222222223,0.1499999999999999,-0.015277777777777612,0.20416666666666666,0.225,-0.020833333333333343,True,True,True,True,False,False,True,True,False,False,0.001388888888888889,0.002777777777777778
0,1200,2011,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,44,43,0.5430555555555555,0.5333333333333333,0.009722222222222188,0.13055555555555565,0.13611111111111118,-0.005555555555555536,0.19722222222222224,0.2097222222222222,-0.012499999999999956,True,True,True,True,False,False,True,True,False,False,0.002777777777777778,0.004166666666666667
1,600,2000,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,42,41,0.43194444444444446,0.42916666666666664,0.0027777777777778234,0.06527777777777777,0.06388888888888894,0.0013888888888888284,0.08055555555555556,0.09305555555555556,-0.012499999999999997,True,True,True,True,False,False,True,True,False,False,0.004166666666666667,0.001388888888888889
1,600,2001,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,43,42,0.5666666666666667,0.5430555555555555,0.023611111111111138,0.06666666666666665,0.06527777777777777,0.001388888888888884,0.09305555555555556,0.11527777777777777,-0.022222222222222213,True,True,True,True,False,False,True,True,False,False,0.001388888888888889,0.002777777777777778
1,600,2002,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,42,41,0.5569444444444445,0.5125,0.04444444444444451,0.09999999999999998,0.056944444444444464,0.043055555555555514,0.13333333333333333,0.15555555555555556,-0.022222222222222227,True,True,True,True,False,False,True,True,False,False,0.004166666666666667,0.027777777777777776
1,600,2003,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,44,43,0.5958333333333333,0.5847222222222223,0.011111111111111072,0.047222222222222165,0.05833333333333335,-0.011111111111111183,0.05972222222222222,0.07222222222222222,-0.012499999999999997,True,True,True,True,False,False,True,True,False,False,0.001388888888888889,0.0
1,600,2004,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,43,42,0.5902777777777777,0.5750000000000001,0.015277777777777612,0.03750000000000009,0.04861111111111105,-0.01111111111111096,0.05694444444444444,0.07083333333333333,-0.013888888888888888,True,True,True,True,False,False,True,True,False,False,0.001388888888888889,0.0
1,600,2005,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,42,41,0.7305555555555555,0.7055555555555556,0.02499999999999991,0.04166666666666674,0.06527777777777777,-0.023611111111111027,0.07222222222222223,0.09583333333333334,-0.02361111111111111,True,True,True,True,False,False,True,True,False,False,0.001388888888888889,0.001388888888888889
1,600,2006,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,43,42,0.5083333333333333,0.47500000000000003,0.03333333333333327,0.022222222222222254,0.06388888888888883,-0.041666666666666574,0.06666666666666667,0.09166666666666667,-0.02500000000000001,True,True,True,True,False,False,True,True,False,False,0.002777777777777778,0.001388888888888889
1,600,2007,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,43,42,0.6361111111111111,0.6277777777777778,0.008333333333333304,0.009722222222222299,0.01805555555555549,-0.008333333333333193,0.05694444444444444,0.06805555555555555,-0.011111111111111106,True,True,True,True,False,False,True,True,False,False,0.0,0.0
1,600,2008,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,43,42,0.6722222222222223,0.6361111111111111,0.036111111111111205,0.0,0.030555555555555558,-0.030555555555555558,0.08611111111111111,0.1125,-0.026388888888888892,True,True,True,True,False,False,True,True,False,False,0.001388888888888889,0.005555555555555556
1,600,2009,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,43,42,0.42777777777777776,0.43333333333333335,-0.005555555555555591,0.0847222222222222,0.07638888888888884,0.00833333333333336,0.08611111111111111,0.08888888888888889,-0.002777777777777782,True,True,True,True,False,False,True,True,False,False,0.001388888888888889,0.0
1,600,2010,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,44,43,0.5930555555555556,0.5847222222222223,0.008333333333333304,0.05277777777777781,0.061111111111111116,-0.008333333333333304,0.0625,0.06944444444444445,-0.0069444444444444475,True,True,True,True,False,False,True,True,False,False,0.0,0.0
1,600,2011,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,44,43,0.7388888888888889,0.7222222222222222,0.01666666666666672,0.016666666666666607,0.030555555555555558,-0.01388888888888895,0.059722222222222225,0.0763888888888889,-0.01666666666666667,True,True,True,True,False,False,True,True,False,False,0.002777777777777778,0.0
1,1200,2000,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,42,41,0.40694444444444444,0.39861111111111114,0.008333333333333304,0.06388888888888888,0.0708333333333333,-0.00694444444444442,0.1,0.10277777777777777,-0.002777777777777768,True,True,True,True,False,False,True,True,False,False,0.001388888888888889,0.004166666666666667
1,1200,2001,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,43,42,0.5708333333333333,0.5402777777777777,0.030555555555555558,0.05277777777777781,0.06527777777777777,-0.012499999999999956,0.08055555555555556,0.10972222222222222,-0.02916666666666666,True,True,True,True,False,False,True,True,False,False,0.001388888888888889,0.002777777777777778
1,1200,2002,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,42,41,0.5430555555555555,0.4930555555555556,0.04999999999999993,0.10277777777777786,0.06666666666666665,0.036111111111111205,0.13611111111111113,0.16805555555555557,-0.03194444444444444,True,True,True,True,False,False,True,True,False,False,0.002777777777777778,0.02361111111111111
1,1200,2003,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,44,43,0.5833333333333334,0.575,0.008333333333333415,0.056944444444444464,0.06388888888888888,-0.00694444444444442,0.0638888888888889,0.07222222222222223,-0.008333333333333331,True,True,True,True,False,False,True,True,False,False,0.001388888888888889,0.001388888888888889
1,1200,2004,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,43,42,0.5625,0.5513888888888889,0.011111111111111072,0.05138888888888882,0.05833333333333335,-0.006944444444444531,0.06805555555555556,0.07500000000000001,-0.0069444444444444475,True,True,True,True,False,False,True,True,False,False,0.001388888888888889,0.001388888888888889
1,1200,2005,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,42,41,0.7374999999999999,0.7208333333333333,0.016666666666666607,0.03472222222222221,0.04444444444444451,-0.009722222222222299,0.06527777777777778,0.07916666666666666,-0.013888888888888881,True,True,True,True,False,False,True,True,False,False,0.0,0.0
1,1200,2006,boundary_assessed,high_level_explanation,edge__boundary_assessed__high_level_explanation,43,42,0.4986111111111111,0.4597222222222222,0.03888888888888892,0.06805555555555554,0.10416666666666669,-0.03611111111111115,0.07777777777777778,0.11527777777777777,-0.03749999999999999,True,True,True,True,False,False,True,True,False,False,0.001388888888888889,0.002777777777777778
